German_Column_Name	English_Column_Name_Long	English_Column_Name_Short	English_Column_Name_Long_Upper	English_Column_Name_Short_Upper
Item	Case_Number	Case_Num	CASE_NUMBER	CASE_NUM
GEBURT	Birth_Date	Birth_Date	BIRTH_DATE	BIRTH_DATE
ALTER_OP	Age	Age	AGE	AGE
VERSTORBEN	OS_Event	OS_Event	OS_EVENT	OS_EVENT
STERBEDAT	OS_Date	OS_Date	OS_DATE	OS_DATE
MORTALITAT_TAGE	Mortality_Days	Mortality_Days	MORTALITY_DAYS	MORTALITY_DAYS
LAST_FU	Last_Follow_Up	Last_FU	LAST_FOLLOW_UP	LAST_FU
GESCHLECHT	Gender	Gender	GENDER	GENDER
GROESSE	Height	Height	HEIGHT	HEIGHT
GEWICHT	Weight	Weight	WEIGHT	WEIGHT
BMI	BMI	BMI	BMI	BMI
FALLNR	Identifier	Identifier	IDENTIFIER	IDENTIFIER
KLSNYHAE	NYHA_Heart_Failure_Class	NYHA_Heart_Fail_Class	NYHA_HEART_FAILURE_CLASS	NYHA_HEART_FAIL_CLASS
BG_DIABET	Diabetes	Diabetes	DIABETES	DIABETES
A_PUHYP	Pulmonary_Hypertension	Pulm_HTN	PULMONARY_HYPERTENSION	PULM_HTN
A_HYPSYS	Arterial_Hypertension_HypSys	Art_HTN_HypSys	ARTERIAL_HYPERTENSION_HYPSYS	ART_HTN_HYPSYS
A_HYPTO_R	Arterial_Hypertension_Hypto_R	Art_HTN_Hypto_R	ARTERIAL_HYPERTENSION_HYPTO_R	ART_HTN_HYPTO_R
KOROANBEF	Coronary_Artery_Disease	Coronary_Art_Disease	CORONARY_ARTERY_DISEASE	CORONARY_ART_DISEASE
AB_VHF_KL	Atrial_Fibrillation	Atrial_Fibrillation	ATRIAL_FIBRILLATION	ATRIAL_FIBRILLATION
BG_HRHY_R	BG_HRHY_R	BG_HRHY_R	BG_HRHY_R	BG_HRHY_R
A_PAVK_E	Peripheral_Atherosclerosis	Peripher_Atheroscler	PERIPHERAL_ATHEROSCLEROSIS	PERIPHER_ATHEROSCLER
ENDOKARD	Endocarditis	Endocard	ENDOCARDITIS	ENDOCARD
PRENIETH	Renal_Failure	Renal_Fail	RENAL_FAILURE	RENAL_FAIL
SMTRAEGER	Implanted_Pacemaker	Implanted_Pacemaker	IMPLANTED_PACEMAKER	IMPLANTED_PACEMAKER
DEFITRAEG	Implanted_Defibrillator	Implanted_Defibrillator	IMPLANTED_DEFIBRILLATOR	IMPLANTED_DEFIBRILLATOR
AUFN_CRTJN	Implanted_Cardiac_Resynchronization_Therapy	Implanted_Card_Resynch_Therapy	IMPLANTED_CARDIAC_RESYNCHRONIZATION_THERAPY	IMPLANTED_CARD_RESYNCH_THERAPY
STS	STS_Therapeutic_Risk_Stratification	STS	STS_THERAPEUTIC_RISK_STRATIFICATION	STS
RELAKEY	RELAKEY	RELAKEY	RELAKEY	RELAKEY
OP_DATUM	Surgery_Date	Sx_Date	SURGERY_DATE	SX_DATE
OP_ANFANG	Surgery_Start_Time	Sx_Start_t	SURGERY_START_TIME	SX_START_T
OP_ENDE	Surgery_End_Time	Sx_End_t	SURGERY_END_TIME	SX_END_T
OP_ZEIT	Surgery_Duration_Min	Sx_Duration_Min	SURGERY_DURATION_MIN	SX_DURATION_MIN
BYPASSZEIT	Surgery_Cardiopulmonary_Bypass_Time	Sx_Cardiopulm_Bypass_t	SURGERY_CARDIOPULMONARY_BYPASS_TIME	SX_CARDIOPULM_BYPASS_T
AORTENKLEMMZEIT	Surgery_Aortic_Clamping_Time	Sx_Aort_Clamp_t	SURGERY_AORTIC_CLAMPING_TIME	SX_AORT_CLAMP_T
DRINGLICH	Surgery_Urgency	Sx_Urgency	SURGERY_URGENCY	SX_URGENCY
AK_BIKUSP	Prosthesis_Anatomical_Aortic_Valve	Prosthesis_Anat_Aort_Valve	PROSTHESIS_ANATOMICAL_AORTIC_VALVE	PROSTHESIS_ANAT_AORT_VALVE
AK_MOD	AK_MOD	AK_MOD	AK_MOD	AK_MOD
AK_MOD_BEZ	Prosthesis_Name	Prosthesis_Name	PROSTHESIS_NAME	PROSTHESIS_NAME
