Немецкий термин	Русский перевод	Использование имплантанта
Aortenklappe Xenotransplantat: mediane Sternotomie	Ксенотрансплантация аортального клапана: срединная стернотомия	Да
Aortenklappe: Endovaskuläre Implantation ohne HLM	Аортальный клапан: эндоваскулярная имплантация без HLM	Да
Bypass 1-fach mit Aorten- und Mitralklappenersatz mit HLM und mediane Sternotomie	Одиночное шунтирование с заменой аортального и митрального клапанов с использованием HLM и срединной стернотомии	Да
Bypass 1-fach mit Aortenklappenersatz mit HLM und mediane Sternotomie	Шунтирование 1-кратное с заменой аортального клапана с HLM и срединной стернотомией	Да
Bypass 1-fach mit Aortenklappenersatz und Mitralklappenrekonstruktion mit HLM und mediane Sternotomie	Шунтирование 1-кратное с заменой аортального клапана и реконструкцией митрального клапана с HLM и срединной стернотомией	Да
Bypass 2-fach mit Aortenklappenersatz mit HLM und mediane Sternotomie	Шунтирование 2-кратное с заменой аортального клапана с HLM и срединной стернотомией	Да
Defibrillator: Implantation 1-Kammer-System ohne HLM	Дефибриллятор: имплантация 1-камерной системы без HLM	Да
Defibrillator: Implantation 2-Kammer-System ohne HLM	Дефибриллятор: имплантация 2-камерной системы без УЛМ	Да
Ersatz der Aorta ascendens infrakoronar mit klappentragender Gefäßprothese, biologisch mit HLM	Замещение восходящей аорты инфракоронарным сосудистым протезом с лоскутами, биологическим с HLM	Да
Ersatz der Aorta ascendens infrakoronar mit klappentragender Gefäßprothese, mechanisch mit HLM	Замещение восходящей аорты инфракоронарное с клапаносодержащим сосудистым протезом, механическое с HLM	Да
Ersatz der Aorta ascendens infrakoronar mit Rohrprothese und Reimplantation der Koronararterien mit HLM	Замещение восходящей аорты инфракоронарным трубчатым протезом и реимплантация коронарных артерий с HLM	Да
Ersatz der Aorta ascendens suprakoronar mit Aortenklappenersatz mit HLM	Замещение восходящей аорты супракоронарно с заменой аортального клапана с HLM	Да
IABP Implantation ohne HLM	Имплантация ИАБП без УЛМ	Да
Mitralklappe Allotransplantat: mediane Sternotomie	Аллотрансплантация митрального клапана: срединная стернотомия	Да
Mitralklappe Kunstprothese: minimalinvasiv	Протезирование митрального клапана: минимально инвазивное	Да
